isic_code,isic_description,section_code,section_description,division_code,division_description,group_code,group_description,class_code,class_description,primary_method_1,primary_method_2,supporting_method_1,supporting_method_2,sensitivity_method,valuation_rationale,us_stocks,br_stocks
111,"Growing of cereals (except rice), leguminous crops and oil seeds",,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,111,"Growing of cereals (except rice), leguminous crops and oil seeds",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
112,Growing of rice,,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,112,Growing of rice,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
113,"Growing of vegetables and melons, roots and tubers",,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,113,"Growing of vegetables and melons, roots and tubers",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","DOV,CVGW,AGRO","SLCE3,AGRO3,SOJA3"
114,Growing of sugar cane,,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,114,Growing of sugar cane,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","HSY,MDLZ,AGRO","RAIZ4,SMTO3,JALL3"
115,Growing of tobacco,,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,115,Growing of tobacco,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MO,PM,TPB","PHMO34,B1TI34,MOOO34"
116,Growing of fibre crops,,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,116,Growing of fibre crops,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
119,Growing of other non-perennial crops,,,1,"Crop and animal production, hunting and related service activities",11,Growing of non-perennial crops,119,Growing of other non-perennial crops,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
121,Growing of grapes,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,121,Growing of grapes,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","TAP,STZ,DEO","SLCE3,AGRO3,SOJA3"
122,Growing of tropical and subtropical fruits,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,122,Growing of tropical and subtropical fruits,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","DOLE,CVGW,FDP","SLCE3,AGRO3,SOJA3"
123,Growing of citrus fruits,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,123,Growing of citrus fruits,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
124,Growing of pome fruits and stone fruits,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,124,Growing of pome fruits and stone fruits,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CVGW,DOLE,FDP","SLCE3,AGRO3,SOJA3"
125,Growing of other tree and bush fruits and nuts,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,125,Growing of other tree and bush fruits and nuts,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","DOLE,FDP,AVO","SLCE3,AGRO3,SOJA3"
